epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2793,1.0807,2.25966,1.11622,0.92729,0.18,0.28721,0.18443,0.94251,2.96328,1.04043,0.000651515,0.000651515,0.000651515
2,34.6912,1.08435,1.40627,1.06813,0.86544,0.83609,0.9103,0.64223,1.02231,2.07681,1.1391,0.00129208,0.00129208,0.00129208
3,50.4758,1.03461,1.20828,1.06879,0.94658,0.97464,0.98591,0.70949,1.00787,1.26618,1.1432,0.00190625,0.00190625,0.00190625
4,66.0955,1.02302,0.99605,1.05636,0.9527,0.97,0.98732,0.66226,1.03083,1.01351,1.15279,0.0018812,0.0018812,0.0018812
5,81.7402,1.00468,0.88593,1.05384,0.97948,0.995,0.9932,0.71416,1.00096,0.82602,1.1148,0.0018416,0.0018416,0.0018416
6,97.4049,0.97282,0.78674,1.0508,0.97837,0.965,0.98982,0.63119,1.20578,0.78903,1.20624,0.001802,0.001802,0.001802
7,113.045,1.00173,0.73253,1.05215,0.88088,0.96137,0.95169,0.708,0.93982,0.92637,1.06529,0.0017624,0.0017624,0.0017624
8,128.617,0.98297,0.68013,1.04706,0.97921,0.98,0.98547,0.71873,0.9444,0.66095,1.05254,0.0017228,0.0017228,0.0017228
9,144.209,0.96963,0.64476,1.04379,0.97991,0.995,0.9945,0.74599,0.93415,0.59692,1.04903,0.0016832,0.0016832,0.0016832
10,160.072,0.95863,0.62471,1.0472,0.98671,0.995,0.99465,0.71569,0.96826,0.58188,1.0303,0.0016436,0.0016436,0.0016436
11,175.68,0.94104,0.60366,1.03809,0.96832,0.995,0.99049,0.74341,0.89114,0.63165,1.00888,0.001604,0.001604,0.001604
12,191.513,0.97055,0.5948,1.04281,0.98436,1,0.99272,0.74135,0.93485,0.49906,1.03884,0.0015644,0.0015644,0.0015644
13,207.609,0.93859,0.56086,1.02666,0.97388,1,0.97207,0.70979,0.93363,0.5629,1.02954,0.0015248,0.0015248,0.0015248
14,223.675,0.9493,0.54722,1.02768,0.98949,1,0.99445,0.76328,0.91326,0.46413,1.02308,0.0014852,0.0014852,0.0014852
15,239.342,0.93928,0.52439,1.01832,0.99314,1,0.9945,0.72378,1.01223,0.48601,1.05005,0.0014456,0.0014456,0.0014456
16,255.075,0.91601,0.50359,1.01799,0.99852,1,0.995,0.76395,0.89066,0.46335,1.01253,0.001406,0.001406,0.001406
17,271.623,0.91727,0.50357,1.01691,0.99495,1,0.995,0.74524,0.91487,0.4464,1.00883,0.0013664,0.0013664,0.0013664
18,288.383,0.90504,0.49978,1.01588,0.98495,1,0.9929,0.75286,0.91188,0.43746,1.00261,0.0013268,0.0013268,0.0013268
19,304.85,0.91403,0.50884,1.0134,0.9939,1,0.99301,0.7626,0.89041,0.4381,1.00523,0.0012872,0.0012872,0.0012872
20,322.24,0.88972,0.4953,1.01024,0.99024,1,0.99301,0.75925,0.88522,0.46874,1.01412,0.0012476,0.0012476,0.0012476
